student_id,name,grade_level,gender,attendance_rate,study_hours_per_week,math_score,science_score,english_score,history_score,gpa,extracurricular_activities,internet_access,parent_education_level,free_lunch,passed
1000,Taylor Moore,10,Male,90.3,5.0,73,74,80.0,83,2.57,No,Yes,Graduate,No,Yes
1001,Skyler Martinez,9,Male,86.0,4.0,65,65,91.0,79,2.66,Yes,Yes,None,No,Yes
1002,Rowan Jackson,9,Female,87.7,13.0,62,66,69.0,77,2.2,No,No,Bachelor's,No,Yes
1003,Cameron Wilson,12,Female,88.6,10.0,72,72,76.0,79,2.5,Yes,Yes,High School,Yes,Yes
1004,Cameron Clark,9,Male,82.6,10.0,86,82,88.0,69,3.0,Yes,Yes,Bachelor's,No,Yes
1005,Jamie Lopez,9,Female,92.3,12.0,58,64,68.0,87,2.23,Yes,No,Bachelor's,Yes,Yes
1006,Taylor Anderson,10,Male,100.0,19.0,88,95,93.0,86,3.34,Yes,Yes,High School,No,Yes
1007,Emery White,10,Male,73.8,1.0,40,40,48.0,59,1.14,Yes,Yes,High School,No,No
1008,Casey Moore,11,Non-binary,90.6,5.0,69,75,72.0,68,2.34,Yes,Yes,High School,Yes,Yes
1009,Taylor Jackson,10,Male,81.9,5.0,54,48,50.0,58,1.28,No,Yes,High School,No,No
1010,Hayden Singh,9,Male,92.6,4.0,80,66,73.0,69,2.36,No,Yes,,No,Yes
1011,Micah Smith,9,Male,88.4,3.0,64,79,73.0,74,2.55,Yes,Yes,High School,No,Yes
1012,Finley Lopez,12,Female,94.1,6.0,74,70,72.0,69,2.3,No,No,High School,No,Yes
1013,Skyler Patel,11,Female,97.4,3.0,72,78,59.0,77,2.22,No,Yes,Bachelor's,No,Yes
1014,Finley White,11,Non-binary,89.5,9.0,60,79,66.0,75,2.22,No,No,Bachelor's,No,Yes
1015,Skyler Nguyen,11,Male,97.1,8.0,72,66,67.0,77,2.45,Yes,No,Bachelor's,Yes,Yes
1016,Hayden Nguyen,11,Male,69.2,9.0,66,62,60.0,47,1.73,Yes,Yes,Graduate,No,No
1017,Morgan Nguyen,9,Female,100.0,10.0,93,97,100.0,96,3.77,Yes,Yes,High School,No,Yes
1018,Jamie Rodriguez,10,Male,91.0,10.0,70,89,83.0,82,3.05,Yes,Yes,Bachelor's,No,Yes
1019,Cameron Chen,11,Female,96.6,6.0,68,67,71.0,66,2.25,Yes,Yes,None,No,Yes
1020,Hayden Harris,10,Female,78.2,16.0,69,79,84.0,84,2.77,No,Yes,Bachelor's,No,Yes
1021,Quinn Martinez,12,Male,81.4,,58,60,68.0,58,1.75,No,Yes,,No,No
1022,Casey Brown,10,Female,89.2,0.0,54,56,61.0,57,1.58,Yes,Yes,Bachelor's,No,No
1023,Logan Johnson,11,Male,87.9,3.0,63,68,63.0,69,1.96,Yes,Yes,Bachelor's,No,No
1024,Skyler Smith,12,Male,90.3,1.0,58,63,71.0,47,1.7,Yes,Yes,Bachelor's,No,No
1025,Rowan Kim,10,Female,96.7,8.0,77,81,90.0,88,3.12,Yes,Yes,High School,Yes,Yes
1026,Reese Harris,12,Female,73.9,7.0,64,62,69.0,63,1.8,No,Yes,Bachelor's,No,No
1027,Dakota Singh,11,Female,95.8,6.0,84,77,89.0,74,2.9,Yes,Yes,Bachelor's,No,Yes
1028,Parker White,12,Female,88.1,16.0,89,69,68.0,80,2.63,No,Yes,Graduate,No,Yes
1029,Cameron Lee,10,Non-binary,86.4,10.0,57,63,68.0,76,2.16,No,Yes,High School,No,Yes
1030,Cameron Lee,10,Non-binary,76.2,10.0,63,72,64.0,71,1.96,No,Yes,None,Yes,No
1031,Riley Jackson,11,Female,92.0,4.0,57,64,73.0,65,1.95,No,Yes,Bachelor's,No,No
1032,Taylor Lee,9,Male,68.7,4.0,55,55,61.0,57,1.49,Yes,Yes,High School,No,No
1033,Parker Johnson,10,Female,93.2,8.0,70,63,73.0,84,2.52,Yes,Yes,High School,No,Yes
1034,Kai Martinez,12,Non-binary,76.1,8.0,51,61,67.0,57,1.65,Yes,No,High School,Yes,No
1035,Jordan Harris,11,Male,88.4,0.0,58,62,59.0,58,1.85,No,Yes,Bachelor's,No,No
1036,Jamie Khan,9,Male,87.0,,78,77,76.0,76,2.74,Yes,Yes,High School,Yes,Yes
1037,Dakota Lee,10,Male,97.4,8.0,71,72,72.0,77,2.42,No,No,High School,Yes,Yes
1038,Sam Jackson,9,Male,86.6,7.0,75,71,75.0,74,2.52,Yes,Yes,None,Yes,Yes
1039,Rowan Jackson,9,Female,82.4,4.0,68,58,65.0,63,1.88,Yes,,Graduate,No,No
1040,Morgan Moore,12,Male,83.9,5.0,48,63,63.0,46,1.51,Yes,Yes,Bachelor's,No,No
1041,Skyler White,10,Female,98.2,7.0,68,67,71.0,71,2.11,No,Yes,None,Yes,Yes
1042,,10,Female,92.3,8.0,64,64,73.0,62,1.96,Yes,Yes,None,Yes,No
1043,Quinn Clark,11,Female,84.9,10.0,74,63,69.0,71,2.29,Yes,Yes,Bachelor's,No,Yes
1044,Jordan Wilson,9,Male,86.1,12.0,69,66,77.0,84,2.64,Yes,Yes,High School,Yes,Yes
1045,Micah Moore,10,Male,75.5,6.0,54,67,67.0,56,1.55,No,Yes,Bachelor's,No,No
1046,Cameron Chen,11,Female,91.1,6.0,75,87,88.0,77,3.09,No,Yes,High School,No,Yes
1047,Kai Thomas,11,Female,73.9,9.0,76,71,58.0,69,2.19,Yes,Yes,Graduate,No,Yes
1048,Emery Rodriguez,12,Female,94.0,10.0,72,65,71.0,76,2.15,No,Yes,High School,Yes,Yes
1049,Skyler Rodriguez,11,Female,89.0,6.0,55,60,60.0,67,1.44,Yes,,Bachelor's,No,No
1050,Skyler Rodriguez,10,Male,100.0,11.0,72,79,76.0,70,2.38,No,Yes,None,No,Yes
1051,Casey Thomas,11,Female,79.2,11.0,83,79,75.0,78,2.78,Yes,Yes,Graduate,No,Yes
1052,Quinn Anderson,12,Male,87.2,13.0,75,87,85.0,91,3.11,Yes,Yes,Graduate,No,Yes
1053,Drew Garcia,11,Male,100.0,15.0,97,86,100.0,100,3.82,No,Yes,Bachelor's,No,Yes
1054,Drew Moore,12,Female,97.5,4.0,82,84,83.0,80,2.93,Yes,Yes,High School,No,Yes
1055,Jordan Singh,12,Male,82.4,8.0,56,63,74.0,72,1.96,Yes,,High School,Yes,No
1056,Parker Wilson,12,Male,89.8,8.0,73,59,68.0,70,2.1,No,Yes,Bachelor's,No,Yes
1057,Morgan Lopez,9,Male,88.0,,66,63,64.0,68,2.02,No,No,Bachelor's,Yes,Yes
1058,Finley Clark,11,Male,90.3,5.0,72,71,69.0,72,2.37,Yes,Yes,High School,No,Yes
1059,Emery Jackson,10,Female,82.4,2.0,54,43,55.0,46,1.04,No,Yes,High School,Yes,No
1060,Logan Jackson,11,Male,87.3,8.0,69,77,66.0,79,2.53,No,Yes,High School,Yes,Yes
1061,Finley Davis,11,Female,75.2,4.0,54,67,67.0,71,1.92,Yes,Yes,Bachelor's,No,No
1062,Quinn Moore,12,Female,89.1,8.0,63,66,66.0,67,1.94,No,Yes,Bachelor's,No,No
1063,Micah Kim,12,Male,91.6,4.0,71,74,87.0,69,2.53,Yes,Yes,Bachelor's,No,Yes
1064,Reese Khan,10,Male,86.2,3.0,66,59,70.0,64,2.09,No,Yes,Bachelor's,No,Yes
1065,,11,Female,75.1,8.0,54,57,59.0,53,1.46,Yes,Yes,High School,Yes,No
1066,Kai Nguyen,11,Female,95.9,8.0,83,67,73.0,68,2.37,Yes,Yes,High School,No,Yes
1067,Quinn Brown,10,Female,90.9,10.0,75,82,75.0,73,2.74,Yes,Yes,None,Yes,Yes
